index,Name,Platform,Year_of_Release,Genre,Publisher,Critic_Score,User_Score,Rating
5718,Kessen III,PS2,2004,Strategy,Tecmo Koei,73,8.1,T
5719,The King of Fighters Collection: The Orochi Saga,PSP,2008,Fighting,Ignition Entertainment,61,7,T
5720,Aero Elite: Combat Academy,PS2,2002,Simulation,Sega,64,7,E
5721,Wrath Unleashed,PS2,2004,Strategy,LucasArts,64,6,T
5722,Divinity II: Ego Draconis,PC,2009,Role-Playing,DTP Entertainment,72,7.7,M
5723,Commandos 2: Men of Courage,XB,2002,Strategy,Eidos Interactive,67,8.4,T
5724,Emergency 2012,PC,2010,Simulation,Deep Silver,61,6.2,T
5725,Overlord: Minions,DS,2009,Puzzle,Codemasters,58,5.5,E10+
5726,Fairy Fencer F: Advent Dark Force,PS4,2015,Role-Playing,Idea Factory International,71,6.2,T
5727,Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,33,4.5,E
5728,Hearts of Iron III,PC,2009,Strategy,Paradox Interactive,77,7.1,E10+
5729,Kengo: Legend of The 9,X360,2006,Fighting,Majesco Entertainment,38,4.1,M
5730,Romance of the Three Kingdoms XI,PS2,2007,Strategy,Tecmo Koei,69,8.4,E10+
5731,Hammerin' Hero,PSP,2008,Action,Irem Software Engineering,73,7.3,E10+
5732,Dark Souls III,PC,2016,Role-Playing,Namco Bandai Games,89,8.6,M
5733,TMNT: Mutant Melee,GC,2005,Fighting,Konami Digital Entertainment,44,2.8,T
5734,Combat: Task Force 121,XB,2005,Shooter,Zoo Digital Publishing,44,8.5,M
5735,Stacked with Daniel Negreanu,PS2,2006,Misc,Myelin Media,63,5.3,T
5736,Circus Maximus: Chariot Wars,XB,2002,Racing,THQ,67,5,T
5737,Serious Sam: Next Encounter,PS2,2004,Shooter,Global Star,65,7.8,M
5738,Tom Clancy's Ghost Recon 2,GC,2005,Shooter,Ubisoft,54,1.4,T
5739,Monster Racers,DS,2009,Racing,Tecmo Koei,70,9,E
5740,Speed Zone,Wii,2009,Racing,Bethesda Softworks,37,3.8,E
5741,James Cameron's Dark Angel,XB,2002,Action,Vivendi Games,47,8.3,T
5742,Aqua Teen Hunger Force: Zombie Ninja Pro-Am,PS2,2007,Racing,Midway Games,37,5.9,M
5743,Operation Darkness,X360,2007,Role-Playing,Success,46,7,M
5744,Galerians: Ash,PS2,2002,Adventure,Sammy Corporation,50,7.9,T
5745,R-Type Command,PSP,2007,Strategy,Rising Star Games,69,6.5,E10+
5746,Haunting Ground,PS2,2005,Action,Capcom,67,8.8,M
5747,Grand Kingdom,PS4,2015,Role-Playing,Nippon Ichi Software,78,8.1,T
5748,Robocalypse,DS,2008,Strategy,Tecmo Koei,78,8.6,E10+
5749,Homie Rollerz,DS,2008,Racing,Destineer,23,2.4,E
5750,Escape Dead Island,X360,2014,Action,Deep Silver,32,3.8,M
5751,Tom Clancy's Splinter Cell: Chaos Theory,DS,2005,Action,Ubisoft,50,7,T
5752,Romance of the Three Kingdoms IX,PS2,2003,Strategy,Tecmo Koei,74,8.9,E
5753,Second Sight,XB,2004,Adventure,Codemasters,75,8,T
5754,Operation Flashpoint: Red River,PC,2011,Shooter,Codemasters,67,4.9,M
5755,Vanguard Bandits,PS,1998,Strategy,Human Entertainment,62,7.4,T
5756,MLB Front Office Manager,X360,2009,Sports,Take-Two Interactive,47,4.6,E
5757,Child of Light,PSV,2014,Role-Playing,Ubisoft,83,7.8,E10+
5758,Silent Hill: Origins,PS2,2008,Action,Konami Digital Entertainment,70,7.4,M
5759,Harry Potter and the Sorcerer's Stone,XB,2003,Action,Electronic Arts,59,6,E
5760,Damnation,X360,2009,Shooter,Codemasters,36,5.6,M
5761,Samurai Warriors,XB,2004,Action,Tecmo Koei,71,9,T
5762,FIFA Soccer 2004,GC,2003,Sports,Electronic Arts,83,6.2,E
5763,Record of Agarest War,PS3,2007,Role-Playing,Ghostlight,67,6.8,T
5764,SNK Arcade Classics Vol. 1,Wii,2008,Misc,Ignition Entertainment,73,8,T
5765,Dave Mirra BMX Challenge,PSP,2006,Sports,Oxygen Interactive,32,4.6,E
5766,Rayman 3: Hoodlum Havoc,GC,2003,Platform,Ubisoft,77,8.3,E
5767,The Guy Game,XB,2004,Misc,Gathering of Developers,47,5.4,M
5768,Ghost in the Shell: Stand Alone Complex,PSP,2005,Adventure,Atari,61,7.4,T
5769,Open Season,Wii,2006,Platform,Ubisoft,49,5.6,E10+
5770,Crimson Sea 2,PS2,2004,Action,Tecmo Koei,75,8.3,T
5771,Tokyo Twilight Ghost Hunters,PSV,2014,Role-Playing,Aksys Games,63,7,T
5772,Earth Defense Force 2: Invaders from Planet Space,PSV,2014,Action,Xseed Games,72,8.5,T
5773,Digimon World Championship,DS,2008,Role-Playing,Namco Bandai Games,49,6.5,E
5774,RayStorm,PS,1997,Shooter,Sony Computer Entertainment,79,7.8,E
5775,Dynasty Warriors 8: Empires,XOne,2014,Action,Tecmo Koei,58,6.8,T
5776,Catwoman,GC,2004,Action,Electronic Arts,47,6.1,T
5777,Colosseum: Road to Freedom,PS2,2005,Role-Playing,Tecmo Koei,56,8.3,M
5778,Football Manager 2010,PC,2009,Sports,Sega,87,9,E
5779,Target: Terror,Wii,2008,Shooter,Konami Digital Entertainment,33,2.7,M
5780,Mugen Souls Z,PS3,2013,Role-Playing,Nippon Ichi Software,57,6.4,T
5781,BeatMania,PS2,2006,Simulation,Konami Digital Entertainment,67,8.9,E10+
5782,Silpheed: The Lost Planet,PS2,2000,Shooter,Swing! Entertainment,72,7.5,T
5783,Real Time Conflict: Shogun Empires,DS,2005,Strategy,Namco Bandai Games,35,5.6,E10+
5784,Spartan: Total Warrior,GC,2005,Action,Sega,73,8.3,M
5785,Pitfall: The Lost Expedition,XB,2004,Platform,Activision,73,7.8,E
5786,River City Ransom EX,GBA,2004,Action,Atlus,75,8.4,T
5787,Bionicle Heroes,X360,2006,Shooter,Eidos Interactive,59,5.9,E10+
5788,Fable: The Lost Chapters,PC,2005,Role-Playing,Microsoft Game Studios,83,8.7,M
5789,Crazy Taxi 2,DC,2001,Racing,Sega,82,8.1,T
5790,The Sims 2: Seasons,PC,2007,Simulation,Electronic Arts,78,7.3,T
5791,The Testament of Sherlock Holmes,PC,2012,Adventure,Focus Home Interactive,73,8,M
5792,Robot Alchemic Drive,PS2,2002,Action,Enix Corporation,79,8.2,T
5793,Tomb Raider: Legend,DS,2006,Action,Eidos Interactive,58,8,T
5794,Warhammer: Battle For Atluma,PSP,2006,Action,Namco Bandai Games,55,7.4,T
5795,Eagle Flight,PS4,2016,Adventure,Ubisoft,72,7.8,E10+
5796,Operation: Vietnam,DS,2007,Shooter,Majesco Entertainment,65,6.3,T
5797,Fighter Maker 2,PS2,2002,Fighting,Enterbrain,58,7.8,T
5798,Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,61,7.7,M
5799,Dragon Valor,PS,1999,Role-Playing,Sony Computer Entertainment,57,8.3,T
5800,NHL 2005,GC,2004,Sports,Electronic Arts,75,5.6,E
5801,Microsoft Flight Simulator 2004: A Century of Flight,PC,2003,Simulation,Microsoft Game Studios,88,8.2,E
5802,Anubis II,Wii,2007,Platform,Metro 3D,19,2.7,E
5803,Inversion,PS3,2012,Shooter,Namco Bandai Games,56,5.4,M
5804,Ultimate Marvel vs. Capcom 3,X360,2011,Fighting,Capcom,79,6.2,T
5805,Assassin's Creed Chronicles,PSV,2016,Action,Ubisoft,70,8,T
5806,Dragoneer's Aria,PSP,2007,Role-Playing,Tecmo Koei,56,6,E10+
5807,N+,DS,2007,Platform,Atari,82,7.4,E
5808,Obscure,PS2,2004,Adventure,Microids,65,8.9,M
5809,Sega Soccer Slam,GC,2002,Sports,Sega,84,7.7,E
5810,Deep Labyrinth,DS,2006,Action,505 Games,57,8.8,E10+
5811,Spawn: Armageddon,GC,2003,Action,Electronic Arts,61,7.2,M
5812,God Hand,PS2,2006,Action,Capcom,73,7.7,M
5813,Legends of Wrestling II,GBA,2002,Fighting,Acclaim Entertainment,24,3.7,E
5814,Jurassic Park: Operation Genesis,XB,2003,Simulation,Konami Digital Entertainment,69,8.8,T
5815,RedCard 20-03,PS2,2002,Sports,Midway Games,73,9,E
5816,Future Tactics: The Uprising,PS2,2004,Strategy,Crave Entertainment,61,6,T
5817,Driver: Parallel Lines,XB,2006,Racing,Atari,69,4.6,M
5818,Top Gun,PS3,2011,Simulation,505 Games,49,4.4,T
5819,Batman: Rise of Sin Tzu,GBA,2003,Action,Ubisoft,63,6.8,E
5820,Dragon Ball Z: Battle of Z,X360,2014,Fighting,Namco Bandai Games,53,5.1,T
5821,World Racing,XB,2003,Racing,TDK Mediactive,56,8.1,E
5822,Resident Evil 5,PC,2009,Action,Capcom,86,7.1,M
5823,X-Men: The Official Game,GBA,2006,Action,Activision,55,9.3,E10+
5824,The King of Fighters 02/03,PS2,2005,Fighting,SNK,73,8.8,T
5825,Armored Core: Nine Breaker,PS2,2004,Simulation,505 Games,57,8.2,T
5826,Terraria,PS4,2014,Action,505 Games,83,7.9,T
5827,Worms 3D,GC,2003,Strategy,Sega,69,7.6,T
5828,TRON: Evolution,PC,2010,Action,Disney Interactive Studios,57,6,T
5829,The Guided Fate Paradox,PS3,2013,Role-Playing,Nippon Ichi Software,74,7.8,T
5830,Mayhem 3D,X360,2011,Racing,Evolved Games,47,8.6,E10+
5831,WipEout HD Fury,PS3,2009,Racing,Sony Computer Entertainment,89,8.4,E10+
5832,Fallout: Brotherhood of Steel,PS2,2004,Role-Playing,Avalon Interactive,64,4.1,M
5833,"Flower, Sun, and Rain",DS,2008,Adventure,Rising Star Games,54,7.1,T
5834,Gunstar Super Heroes,GBA,2005,Shooter,Sega,83,8.5,E10+
5835,Cities XL 2012,PC,2011,Strategy,Focus Home Interactive,61,5.6,E
5836,Worms Forts: Under Siege,XB,2004,Strategy,Sega,67,8,T
5837,Full Spectrum Warrior: Ten Hammers,PS2,2006,Strategy,THQ,71,8,M
5838,Natural Doctrine,PSV,2014,Role-Playing,Nippon Ichi Software,60,7.5,M
5839,Prince of Persia: The Fallen King,DS,2008,Action,Ubisoft,64,6,E
5840,NHL Hitz Pro,XB,2003,Sports,Midway Games,81,8.8,E
5841,Broken Sword 5: The Serpent's Curse,PS4,2015,Adventure,Revolution Software,72,7.2,T
5842,Alan Wake,PC,2012,Action,Nordic Games,83,8,T
5843,Risen 3: Titan Lords,X360,2014,Role-Playing,Deep Silver,44,4.4,M
5844,Steambot Chronicles: Battle Tournament,PSP,2008,Fighting,Irem Software Engineering,54,6.3,E10+
5845,Wings of War,XB,2004,Simulation,Take-Two Interactive,62,5,T
5846,187: Ride or Die,XB,2005,Racing,Ubisoft,51,6.9,M
5847,RPG Maker 3,PS2,2004,Role-Playing,Enterbrain,69,7.9,E10+
5848,Kabuki Warriors,XB,2001,Action,Genki,32,2.5,M
5849,World Poker Tour,XB,2005,Misc,Take-Two Interactive,63,7.8,T
5850,Age of Empires III: The Asian Dynasties,PC,2007,Strategy,Microsoft Game Studios,81,8.5,T
5851,IL-2 Sturmovik: Birds of Prey,DS,2009,Simulation,505 Games,41,2.4,E10+
5852,NanoBreaker,PS2,2005,Action,Konami Digital Entertainment,51,6.7,M
5853,Bionicle,XB,2003,Action,Electronic Arts,49,1.5,E
5854,GRID 2,PC,2013,Racing,Codemasters,80,5.7,E
5855,Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,55,6.7,M
5856,Miami Vice: The Game,PSP,2006,Shooter,Activision,63,7,M
5857,Samurai Warriors Chronicles 3,PSV,2014,Action,Tecmo Koei,70,7.9,T
5858,BMX XXX,GC,2002,Sports,Acclaim Entertainment,60,5,M
5859,One Piece: Unlimited World Red,WiiU,2014,Action,Namco Bandai Games,66,7.8,T
5860,Aggressive Inline,XB,2002,Sports,Acclaim Entertainment,85,7.7,T
5861,Insecticide,DS,2008,Action,Gamecock,55,7,E10+
5862,XGRA: Extreme G Racing Association,PS2,2003,Racing,Acclaim Entertainment,68,8.6,T
5863,Mario vs. Donkey Kong: Tipping Stars,3DS,2015,Puzzle,Nintendo,70,7.5,E
5864,Tournament of Legends,Wii,2010,Fighting,Sega,45,6.9,T
5865,Escape from Bug Island,Wii,2006,Action,Eidos Interactive,37,5,M
5866,Gradius Collection,PSP,2006,Shooter,Konami Digital Entertainment,76,8.5,E
5867,Fist of the North Star: Ken's Rage 2,X360,2012,Fighting,Tecmo Koei,55,7.1,M
5868,Gallop Racer 2004,PS2,2004,Sports,Zoo Digital Publishing,70,8.7,E
5869,Mobile Suit Gundam Seed: Never Ending Tomorrow,PS2,2004,Shooter,Namco Bandai Games,45,7.8,T
5870,F1 2001,XB,2001,Racing,Electronic Arts,83,5.5,E
5871,Crimson Gem Saga,PSP,2008,Role-Playing,Sega,78,7.5,T
5872,Monster Tale,DS,2011,Platform,Majesco Entertainment,79,8,E
5873,Legend of the Dragon,Wii,2007,Fighting,Game Factory,37,4.8,T
5874,Cel Damage,GC,2002,Racing,Electronic Arts,67,6.8,T
5875,Mirror's Edge Catalyst,PC,2016,Platform,Electronic Arts,74,4.4,T
5876,Arc the Lad: End of Darkness,PS2,2004,Role-Playing,Sony Computer Entertainment,59,4.2,T
5877,Tom Clancy's Splinter Cell: Pandora Tomorrow,GBA,2004,Action,Ubisoft,68,6.2,T
5878,Tokobot,PSP,2005,Platform,Take-Two Interactive,72,7.3,E
5879,Land of the Dead: Road to Fiddler's Green,XB,2005,Shooter,Groove Games,32,5.8,M
5880,Assetto Corsa,PS4,2016,Racing,505 Games,73,6.2,E
5881,NHL 2K9,Wii,2008,Sports,Take-Two Interactive,65,5.4,E10+
5882,"Warhammer 40,000: Squad Command",DS,2007,Strategy,THQ,57,7.9,T
5883,One Piece: Burning Blood,XOne,2016,Fighting,Namco Bandai Games,60,5.8,T
5884,TrackMania Turbo,XOne,2016,Action,Ubisoft,76,7.7,E
5885,Zero Escape: Zero Time Dilemma,PSV,2016,Adventure,Aksys Games,83,8.3,M
5886,Bionicle Heroes,DS,2006,Shooter,Eidos Interactive,72,6.4,T
5887,Mystic Heroes,PS2,2002,Action,Tecmo Koei,67,8.6,T
5888,Jurassic Park III: Park Builder,GBA,2001,Simulation,Konami Digital Entertainment,65,8,E
5889,Unchained Blades ,PSP,2011,Role-Playing,FuRyu,61,7.5,T
5890,Showtime Championship Boxing,Wii,2007,Fighting,Zoo Digital Publishing,35,4.7,E10+
5891,Bomberman Land,PSP,2007,Misc,Hudson Entertainment,55,7.8,E
5892,Steins;Gate,PS3,2012,Adventure,PQube,83,8.7,M
5893,Nights of Azure,PS4,2015,Action,Tecmo Koei,67,7.6,T
5894,Age of Empires Online,PC,2011,Strategy,Microsoft Game Studios,70,5.6,E10+
5895,Earth Defense Force 2017 Portable,PSV,2012,Action,D3Publisher,68,7.9,T
5896,Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,68,7.8,E10+
5897,From The Abyss,DS,2008,Role-Playing,Nobilis,59,8,E
5898,The LEGO Movie Videogame,PC,2014,Action,Warner Bros. Interactive Entertainment,68,6.8,E10+
5899,DuckTales: Remastered,WiiU,2013,Action,Capcom,76,7.9,E
5900,Giants: Citizen Kabuto,PS2,2001,Shooter,Interplay,79,6.9,T
5901,MX vs. ATV Supercross,X360,2014,Racing,Nordic Games,48,4.8,E
5902,Grand Kingdom,PSV,2015,Role-Playing,Nippon Ichi Software,76,8.8,T
5903,LEGO Batman: The Videogame,PC,2008,Action,Warner Bros. Interactive Entertainment,80,7.8,E10+
5904,Alone in the Dark,PS2,2008,Adventure,Atari,47,5.4,M
5905,Muppets Party Cruise,PS2,2003,Misc,TDK Mediactive,61,8,E
5906,Earth Defense Force 4.1: The Shadow of New Despair,PS4,2015,Shooter,Xseed Games,64,7.9,M
5907,Cold Fear,XB,2005,Action,Ubisoft,71,7.6,M
5908,The Technomancer,PS4,2016,Role-Playing,Focus Home Interactive,60,6.7,M
5909,Theme Park,DS,2007,Simulation,Electronic Arts,72,7.6,E
5910,Call of Cthulhu: Dark Corners of the Earth,XB,2005,Adventure,Take-Two Interactive,77,8.1,M
5911,Blur,PC,2010,Racing,Activision,81,7.4,E10+
5912,The Next BIG Thing,PC,2011,Adventure,Focus Home Interactive,75,7.9,E10+
5913,Alien Syndrome,Wii,2007,Role-Playing,Sega,48,7.1,T
5914,Vexx,GC,2003,Platform,Acclaim Entertainment,71,7.3,T
5915,Secret Files: Tunguska,Wii,2008,Adventure,Koch Media,65,7.6,T
5916,Unreal Tournament III,PC,2007,Shooter,Midway Games,83,8,M
5917,Disney Sports Skateboarding,GC,2002,Sports,Konami Digital Entertainment,36,4.7,E
5918,Terminator 3: The Redemption,XB,2004,Shooter,Atari,66,8.6,T
5919,Arkanoid DS,DS,2007,Puzzle,Square Enix,61,7,E
5920,Call of Duty 2,PC,2005,Shooter,Activision,86,8.4,T
5921,Big Bang Mini,DS,2009,Shooter,SouthPeak Games,78,8.2,E
5922,Serious Sam II,XB,2005,Shooter,Take-Two Interactive,72,6.7,M
5923,Song of the Deep,XOne,2016,Action,Insomniac Games,66,6.9,E
5924,Dead Rising 2: Off the Record,PC,2011,Action,Capcom,66,5.3,M
5925,Flipnic: Ultimate Pinball,PS2,2003,Misc,Ubisoft,64,8.1,E
5926,The Witcher,PC,2007,Role-Playing,Atari,81,8.8,M
5927,Coded Arms: Contagion,PSP,2007,Shooter,Konami Digital Entertainment,56,6.6,T
5928,S.T.A.L.K.E.R.: Call of Pripyat,PC,2009,Shooter,Namco Bandai Games,80,8.7,M
5929,Create,PC,2010,Action,Electronic Arts,54,6.8,E
5930,Commandos: Strike Force,PS2,2006,Shooter,Eidos Interactive,58,8.5,T
5931,Mobile Suit Gundam: Gundam vs. Zeta Gundam,PS2,2004,Shooter,Namco Bandai Games,57,8.6,T
5932,Guilty Gear X: Advance Edition,GBA,2002,Fighting,Sammy Corporation,67,5.9,T
5933,Warriors of the Lost Empire,PSP,2007,Role-Playing,Mercury Games,52,7.4,T
5934,Devil's Third,WiiU,2015,Action,Nintendo,43,6.5,M
5935,Star Trek: Tactical Assault,DS,2006,Strategy,Ubisoft,63,7,E
5936,Oddworld: Munch's Oddysee,GBA,2003,Platform,THQ,44,2.5,E
5937,Broken Sword: The Shadow of the Templars,GBA,2002,Adventure,BAM! Entertainment,80,7.8,T
5938,Resident Evil - Code: Veronica X,GC,2003,Action,Capcom,62,8.5,M
5939,Trapt,PS2,2005,Action,Tecmo Koei,60,7.9,M
5940,Lord of Magna: Maiden Heaven,3DS,2014,Role-Playing,Marvelous Entertainment,68,7.8,T
5941,Worms 3D,XB,2003,Strategy,Sega,69,8.4,T
5942,PoPoLoCrois,PSP,2005,Role-Playing,Ignition Entertainment,66,7.4,E
5943,Dragon Rage,PS2,2001,Shooter,3DO,50,6.4,T
5944,Theresia...,DS,2008,Adventure,Arc System Works,61,8,M
5945,Sacred 2: Fallen Angel,PC,2008,Role-Playing,Ascaron Entertainment GmbH,71,6.9,M
5946,Adventure Time: The Secret of the Nameless Kingdom,X360,2014,Action,Little Orbit,58,7.5,E10+
5947,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,DS,2005,Action,Konami Digital Entertainment,58,7,E
5948,Jumper: Griffin's Story,X360,2008,Action,Eidos Interactive,29,3.3,T
5949,Tron 2.0: Killer App,XB,2004,Action,Disney Interactive Studios,69,4.3,T
5950,The Fast and the Furious,PS2,2006,Racing,Namco Bandai Games,59,6.6,T
5951,Vampire Rain: Altered Species,PS3,2008,Action,Ignition Entertainment,30,3.5,M
5952,The History Channel: Battle for the Pacific,X360,2007,Shooter,Activision,35,6.1,T
5953,Racing Gears Advance,GBA,2004,Racing,Zoo Digital Publishing,83,8.9,E
5954,Inversion,X360,2012,Shooter,Namco Bandai Games,53,6.5,M
5955,Need for Speed: Shift,PC,2009,Racing,Electronic Arts,83,5.8,E
5956,Mercury Meltdown,PSP,2006,Action,Atari,78,7.8,E
5957,Exist Archive: The Other Side of the Sky,PSV,2015,Role-Playing,Aksys Games,71,8.3,T
5958,Zoo Tycoon 2,PC,2004,Strategy,Microsoft Game Studios,72,8.1,E
5959,Brave: A Warrior's Tale,X360,2009,Action,SouthPeak Games,42,5,E10+
5960,Fatal Frame,XB,2002,Action,Tecmo Koei,77,8.6,T
5961,Urban Chaos: Riot Response,PS2,2006,Shooter,Eidos Interactive,73,7.8,M
5962,Tom Clancy's Ghost Recon: Advanced Warfighter,PS2,2006,Shooter,Ubisoft,44,4.6,T
5963,Ivy the Kiwi?,Wii,2010,Puzzle,Rising Star Games,74,7.2,E
5964,Resident Evil 2,GC,2003,Action,Capcom,59,8.5,M
5965,Catwoman,XB,2004,Action,Electronic Arts,45,4.6,T
5966,Top Gun: Hard Lock,X360,2012,Action,505 Games,54,3.5,T
5967,Warriors Orochi 2,X360,2008,Action,Tecmo Koei,44,8.1,T
5968,Mana Khemia: Alchemists of Al-Revis,PS2,2007,Role-Playing,Nippon Ichi Software,69,7.5,E10+
5969,Street Fighter V,PC,2016,Fighting,Capcom,74,2.9,T
5970,Zone of the Enders: The Fist of Mars,GBA,2001,Role-Playing,Konami Digital Entertainment,71,9,E
5971,MX vs. ATV Supercross Encore,PS4,2015,Sports,Nordic Games,42,4.1,E
5972,Gun Showdown,PSP,2006,Action,Activision,73,7.6,M
5973,Tiger Woods PGA Tour 08,DS,2007,Sports,Electronic Arts,81,7.6,E
5974,Constantine,XB,2005,Action,SCi,60,7.1,M
5975,Tom Clancy's Splinter Cell: Double Agent,GC,2006,Action,Ubisoft,64,7.1,M
5976,Samurai Shodown Anthology,Wii,2008,Fighting,Ignition Entertainment,74,8.2,T
5977,S.T.A.L.K.E.R.: Shadow of Chernobyl,PC,2007,Shooter,THQ,82,8.4,M
5978,Nanostray,DS,2005,Shooter,Majesco Entertainment,71,7.7,E
5979,Samurai Jack: The Shadow of Aku,PS2,2004,Action,Sega,59,8.4,T
5980,Tropico 5,X360,2014,Simulation,Kalypso Media,71,7.2,T
5981,Rugby World Cup 2015,PS4,2015,Sports,Ubisoft,25,1.9,E
5982,Lost Kingdoms II,GC,2003,Role-Playing,Activision,68,9.1,T
5983,Aggressive Inline,GC,2002,Sports,Acclaim Entertainment,88,7.8,T
5984,Viewtiful Joe: Red Hot Rumble,GC,2005,Action,Capcom,62,6.9,T
5985,Blade Dancer: Lineage of Light,PSP,2006,Role-Playing,Atari,60,6.9,E10+
5986,X-Men: Destiny,DS,2011,Action,Activision,33,5.6,E10+
5987,The Sims 2: University,PC,2005,Simulation,Electronic Arts,81,7.8,T
5988,Generation of Chaos,PSP,2005,Role-Playing,Midas Interactive Entertainment,60,7.7,T
5989,Pump It Up: Exceed,PS2,2005,Misc,Mastiff,73,8.4,T
5990,Tokyo Twilight Ghost Hunters,PS3,2014,Role-Playing,Aksys Games,64,6.4,T
5991,MotorStorm RC,PSV,2012,Racing,Sony Computer Entertainment,78,6.8,E
5992,Harry Potter and the Sorcerer's Stone,PC,2001,Action,Electronic Arts,65,7.8,E
5993,Scurge: Hive,DS,2006,Action,SouthPeak Games,70,8.6,E10+
5994,Remember Me,PC,2013,Action,Capcom,65,7.4,M
5995,NBA Live 07,XB,2006,Sports,Electronic Arts,69,6.8,E
5996,Ride to Hell,X360,2013,Racing,Deep Silver,19,1.3,M
5997,The Saboteur,PC,2009,Action,Electronic Arts,76,8,M
5998,Hail to the Chimp,X360,2008,Misc,Gamecock,52,6.1,T
5999,Tom Clancy's Rainbow Six 3,GC,2004,Shooter,Ubisoft,68,8.2,M
6000,Rocket League,PC,2016,Sports,505 Games,86,8.2,E
6001,V-Rally 3,PS2,2002,Racing,Atari,82,7.4,E
6002,Mirror's Edge,PC,2009,Platform,Electronic Arts,81,8.1,T
6003,Titan Quest,PC,2006,Role-Playing,THQ,77,8.1,T
6004,Amazing Island,GC,2004,Strategy,Sega,59,6.6,E
6005,Izuna 2: The Unemployed Ninja Returns,DS,2007,Role-Playing,Success,65,7.9,T
6006,Gothic 3,PC,2006,Role-Playing,JoWood Productions,63,7.3,T
6007,7 Days to Die,XOne,2016,Action,Telltale Games,35,5.2,M
6008,Alvin and the Chipmunks,Wii,2007,Misc,Eidos Interactive,30,3.6,E
6009,Final Fight: Streetwise,PS2,2006,Action,Capcom,43,6.2,M
6010,Speed Kings,XB,2003,Racing,Acclaim Entertainment,60,8.8,E
6011,Rebelstar: Tactical Command,GBA,2005,Strategy,Atari,78,9.1,E10+
6012,F1 2010,PC,2010,Racing,Codemasters,84,6.6,E
6013,Gladiator: Sword of Vengeance,XB,2003,Action,Acclaim Entertainment,65,7.1,M
6014,Bombastic,PS2,2002,Puzzle,Capcom,72,7.2,E
6015,Coraline,Wii,2009,Action,D3Publisher,42,5.5,E10+
6016,Wing Commander: Prophecy,GBA,2003,Simulation,"Destination Software, Inc",70,8.3,T
6017,Marc Ecko's Getting Up: Contents Under Pressure,PS2,2006,Action,Atari,69,7.2,M
6018,Sega Soccer Slam,XB,2002,Sports,Sega,80,8.5,E
6019,Enemy Front,PS3,2014,Shooter,City Interactive,43,6,M
6020,Front Mission Evolved,PC,2010,Shooter,Square Enix,63,5.1,T
6021,Dynasty Warriors 5,XB,2005,Action,Tecmo Koei,66,8,T
6022,Murdered: Soul Suspect,PC,2014,Action,Square Enix,59,7.4,M
6023,Rez,PS2,2001,Shooter,Sony Computer Entertainment,78,8.3,E
6024,Neverland Card Battles,PSP,2008,Role-Playing,Idea Factory,57,7.8,T
6025,Lufia: The Ruins of Lore,GBA,2002,Role-Playing,Taito,76,8.3,E
6026,UEFA Euro 2004: Portugal,XB,2004,Sports,Electronic Arts,74,8.1,E
6027,Airline Tycoon 2,PC,2011,Simulation,Kalypso Media,57,5.5,E
6028,Medabots: Infinity,GC,2003,Role-Playing,Ubisoft,51,8,E
6029,IL-2 Sturmovik: Cliffs of Dover,PC,2011,Simulation,Ubisoft,60,7.1,T
6030,NFL Blitz Pro,XB,2003,Sports,Midway Games,71,6.6,E
6031,Black Sigil: Blade of the Exiled,DS,2009,Role-Playing,Graffiti,58,7.5,E
6032,Death Jr. II: Root of Evil,PSP,2006,Platform,Konami Digital Entertainment,68,7.3,T
6033,Wakeboarding Unleashed Featuring Shaun Murray,XB,2003,Sports,Activision,80,8.8,E
6034,Mighty No. 9,PS4,2016,Platform,Deep Silver,52,3.5,E10+
6035,Samurai Champloo: Sidetracked,PS2,2006,Action,Namco Bandai Games,66,7.2,T
6036,Medal of Honor: Airborne,PC,2007,Shooter,Electronic Arts,78,7.3,T
6037,Men of War: Assault Squad,PC,2011,Strategy,1C Company,77,8.2,T
6038,Rhapsody: A Musical Adventure,DS,2008,Role-Playing,Nippon Ichi Software,67,6.8,E
6039,Dead Island Definitive Collection,XOne,2016,Action,Deep Silver,67,4.9,M
6040,PAC-MAN and the Ghostly Adventures,WiiU,2013,Platform,Namco Bandai Games,58,6.5,E10+
6041,Virtua Striker 2002,GC,2002,Sports,Sega,58,6,E
6042,UEFA Champions League 2006-2007,X360,2007,Sports,Electronic Arts,72,8.2,E
6043,F1 2015,PC,2015,Racing,Codemasters,61,3.6,E
6044,Aliens in the Attic,DS,2009,Action,Playlogic Game Factory,58,6,E10+
6045,Hunted: The Demon's Forge,PC,2011,Action,Bethesda Softworks,61,6.6,M
6046,Otogi 2: Immortal Warriors,XB,2003,Action,Sega,79,8.3,T
6047,Legend of Kay,PS2,2005,Action,JoWood Productions,72,7.3,E10+
6048,Lucha Libre AAA: Heroes del Ring,X360,2010,Fighting,Konami Digital Entertainment,49,6.3,T
6049,Piglet's Big Game,GC,2003,Platform,Gotham Games,70,8,E
6050,Tom Clancy's HAWX 2,PC,2010,Action,Ubisoft,66,3.8,T
